header
Experts: More facts needed on purported audio recording of Michael Brown shooting,1481,unrelated
Student accidentally sets college on fire during fireworks proposal,1592,agree
"Planetary Alignment On Jan 4, 2015 Will Decrease Gravity For 5 Minutes Causing Partial Weightlessness",2248,unrelated
‘Banksy’ Instagram tribute to Charlie Hebdo victims not posted by artist,1120,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,2045,unrelated
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,2296,unrelated
Pope Francis turns out not to have made pets in heaven comment,1905,disagree
British rapper a suspect in ISIS beheading,2295,unrelated
A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2406,unrelated
Bali Awry,181,unrelated
Islamic State Leader al-Baghdadi “Not Dead”,2036,unrelated
Eggnog-chugging contest leads to hospital stay,941,unrelated
"No, it's not Tiger Woods selling an island in Lake Mälaren",965,disagree
Would-be rapist has penis severed by angry mob,2106,unrelated
Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,367,unrelated
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,373,unrelated
Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,1500,unrelated
"Islamic State leader's family detained by Lebanon, officials say",703,discuss
US confirms death of Somalia terror group leader,167,unrelated
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,1175,unrelated
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,1034,unrelated
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),724,unrelated
Indian civil servant sacked 'after 24-year sickie',2441,agree
Batmobile wasn't stolen: Cops,1338,unrelated
Michael Brown shooting audio caught on tape?,2248,unrelated
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1040,unrelated
Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,527,unrelated
Moment Michael Brown was shot dead 'caught on audio recording': FBI handed potentially damning tape of ELEVEN shots being fired - including final volley of 'kill shots',32,discuss
Saudi fatwa banning snowmen triggers heated debate,26,unrelated
Paul Rudd Is Not the Viral Video Hero Who Tackled a Gay Basher in Dallas,487,unrelated
"Soldier, Gunman Killed In Shooting Incident Near Canadian Parliament",1089,agree
Everyone chill! Banksy has NOT been arrested,1898,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,1435,unrelated
"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",190,unrelated
Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,1808,unrelated
Canadian official identifies dead Ottawa gunman as Michael Zehaf-Bibeau,2246,discuss
"Apple 12-Inch MacBook Air Details Emerge; Device Could Be Thinner, Lighter Than Current Model",1362,discuss
IS militant 'Jihadi John' named as Mohammed Emwazi from London,472,unrelated
Islamic State militants allegedly used chlorine gas against Iraqi security forces,1590,discuss
Zack Snyder Responds to Fake Stolen Batmobile Report,702,unrelated
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,1165,unrelated
"Fidel Castro Dead? Yes, He Is… But The Cuban Leader Is Alive, Death Rumors Proven False",1832,unrelated
Magic mushrooms found in BUCKINGHAM PALACE by Alan Titchmarsh,1374,unrelated
"Video showing American journalist beheaded believed real, officials and family say",2404,unrelated
Canadian Soldier Shot At Ottawa War Memorial: Report,1744,unrelated
Audio recording allegedly captures moment Michael Brown was shot,1832,unrelated
New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,1818,agree
"NYPD to issue tickets instead of arrest for weed possession, report says",775,unrelated
India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,2115,agree
Michael Phelps’ alleged girlfriend says she was born intersex,1849,unrelated
How did a Texas plumber's truck end up with Syrian rebels? (+video),2174,unrelated
Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,992,unrelated
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,2526,unrelated
Christian Bale In Talks To Play Steve Jobs In Sony's Next Biopic,2097,unrelated
Nigeria Says Boko Haram Cease-Fire May Lead to Release of Kidnapped Girls,2045,unrelated
"Calm Yourselves, Durex Has NOT Come Out With A Pumpkin Spice Condom",1212,unrelated
Islamic State flying three jets in Syria: monitor,777,unrelated
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,2084,discuss
Kim Jong-un relying on ‘cobra wine’ after problems with trouser snake,213,unrelated
Nigeria: hopes for return of kidnapped schoolgirls rise after ceasefire reported,922,discuss
Former U.S. soldier says IS used chemical weapons in Kobani,1758,unrelated
North Korean dictator Kim Jong-Un to open restaurant in Scotland,2132,unrelated
Eyewitness Says Viral Video of Homeless Man Was Staged,1681,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,900,unrelated
Meteorite strike in Nicaragua puzzles experts,40,unrelated
Hunt for 'cruel' owner who abandoned dog at train station,36,unrelated
Met police denies reports of Banksy arrest,949,agree
Militant Group Says It Killed American Journalist in Syria,2495,discuss
"Rare Case: Seven Bosnian Girls, Aged 13 And 14, Fall Pregnant After Five-Day School Trip; Parents Outraged After School Cites 'Parental Neglect'",821,unrelated
"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",1628,unrelated
What TBS’s Sped-Up Seinfeld Reruns Tell Us About the Sorry State of America,2237,unrelated
Islamic State claims to have beheaded American journalist,1385,unrelated
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,2448,unrelated
Meteorite 'caused mysterious boom in Nicaragua',345,unrelated
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",2087,unrelated
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,2463,discuss
ISIS cracks down on five confirmed Ebola cases among fighters: official,2045,unrelated
Nasa questions whether crater in Nicaragua caused by meteorite,1661,discuss
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1899,unrelated
Court Orders Probe Into Complaints Of 'Forced Castration' In Religious 'Dera' Sect,1048,unrelated
Saudi Arabian cleric issues fatwa against snowmen,35,unrelated
Actor has his testicles stolen after meeting ‘young blonde woman at a bar’,573,discuss
Report: Possible audio tape of Michael Brown shooting,321,unrelated
Amazon plans ad-supported video streaming service - NY post,887,unrelated
CBI registers 'criminal conspiracy' case against Dera chief after claims 400 male followers were forcibly castrated,2336,discuss
Shots Heard In Alleged Brown Shooting Recording [AUDIO],1818,discuss
Armed U.S. drones spotted flying over Syria in possible hunt for ISIS leader,1509,discuss
"Oh Hey, Paul Rudd Was One Of The Dallas Airport Homophobe Heroes, No Big",119,unrelated
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,2045,unrelated
ISIS Video: America’s Air Dropped Weapons Now in Our Hands,2168,discuss
Vice CEO Throws Down $300K on Lavish Vegas Dinner,1547,unrelated
What Glenn Beck Fears May Be Done With the 11 Missing Jets,176,unrelated
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,855,discuss
'Hairgate': iPhone 6 users encounter latest Apple problem after 'bendgate',689,unrelated
"Once Again, The Banksy 'Arrest' Is A Giant Hoax. Repeat: A Hoax.",2342,unrelated
Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,2132,unrelated
Amazon.com to open first physical store in Manhattan: DJ,2477,unrelated
Lynch Mob Castrates Alleged Rapist In Rajasthan,2149,unrelated
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,115,unrelated
ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government,313,disagree
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,472,unrelated
Video: Marine survives Taliban sniper headshot thanks to helmet,2046,agree
Weather Reporter Caught Writing His Name In The Snow Was NOT Ready To Go On Camera (UPDATED),975,disagree
Cheese addiction breaks Kim Jong-un's ankles,2210,unrelated
PopWatch Teenager fights for the right to be recognized as Teletubbies' smiling sun-baby,2081,unrelated
ISIS cracks down on five confirmed Ebola cases among fighters: official,1438,unrelated
Media outlets identify 'Jihadi John',2531,unrelated
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,808,unrelated
iPhone Game Developer Quits Job By Hiding The Greatest Letter Of Resignation Ever Inside His Game,125,unrelated
Lego letter to parents in 1974 on gender equality still resonates 40 years on,1547,agree
Christian Bale Won't Play Steve Jobs After All,687,unrelated
"Suspected meteorite leaves crater in Managua, is linked to asteroid",1627,unrelated
KIM DINE WITH ME: Porky president Kim Jong-un to open UK restaurant serving DOG,2290,unrelated
Canadian Soldier Shot At Ottawa War Memorial: Report,2307,unrelated
"In Moscow, police are looking for a felon, cut the male genitals",271,unrelated
Lego letter from the 1970s still offers a powerful message to parents 40 years later,1169,unrelated
Isis leader Abu Bakr al-Baghdadi's 'wife and son detained in Lebanon',254,unrelated
Rumor Robert Plant Ripped Up $800 Million Contract To Reunite Led Zeppelin Called 'Rubbish',2133,unrelated
Michelle Obama’s face blurred by Saudi state television,1242,unrelated
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,2530,discuss
Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,1982,unrelated
Islamic State killer 'Jihadi John' named as Mohammed Emwazi,1107,unrelated
Brian Williams Demands Apology From Social Media Over Erroneous Urination Reports (Video),775,unrelated
Pentagon: ISIS seized materials airdropped to Kurds,1627,unrelated
New policy could reduce marijuana possession arrests,296,unrelated
Did NBC Nightly News Go Live To A Man Who Was Taking A Piss?,1786,unrelated
ESPN's Domestic Violence Panel Is Missing Something Important,1020,unrelated
Boko Haram denies it has agreed ceasefire,381,unrelated
Islamic State claims to have beheaded American journalist,2047,discuss
Audio recording of Michael Brown being gunned down WAS made at the time he was killed: App company appears to confirm tape of ELEVEN bullets being fired - including final volley of 'kill shots',844,unrelated
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1471,discuss
Kurds Deny Gill Rosenberg was in Kobane,1949,unrelated
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",2061,agree
"Cook said to confirm Apple Watch is showerproof, lasts a day",1985,unrelated
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,1476,discuss
Russian Yeti Or Bigfoot Hoax? New Footage Sparks Debate,1718,unrelated
Tropical spider burrowed under Bali tourist's skin,2293,discuss
Alleged audio of Michael Brown shooting has surfaced,1104,unrelated
Mexico Says Missing Students Not Found In First Mass Graves,1419,unrelated
Boko Haram denies ceasefire claim by Nigeria's government,1603,unrelated
British hostage David Haines beheaded by Islamic State terrorists,2206,agree
Alleged Ottawa gunman: What we know so far about Michael Zehaf-Bibeau,1301,unrelated
"See How This Homeless Man Spends A Hundred Dollars, And Keep A Tissue Handy [Video]",467,unrelated
"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",2045,unrelated
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,2269,unrelated
"Woman, Ting Su, Finds Husband Cheating With Her Own Twin, Gets Spectacular Revenge",1058,agree
"North Korean leader Kim Jong-un not missing, just having ankle surgery",1081,discuss
Seth Rogen reportedly nabs Steve Wozniak role in Steve Jobs filmSteve Jobs Iconic Moments,1355,unrelated
Police hunt tweed-jacket wearing man who slaps shoppers for SNEEZING,678,unrelated
Meteorite Leaves House-Sized Crater in Nicaragua’s Capital,971,unrelated
Does Vogue's New Office Have a Rat Infestation?,639,unrelated
Meteorite leaves crater in Nicaraguan capital Managua,1795,unrelated
Homeless man receives $100... then shocks everyone with how he spends it,2492,unrelated
Reports: Big Bank Hank of pioneering rap group Sugarhill Gang has died,2398,discuss
Kim Jong-un ‘is so fat from eating cheese that he has broken his ankles’,2327,unrelated
First bendgate... now it's HAIRGATE: Angry iPhone 6 owners claim design is causing chunks of their hair to be ripped out when they make a phone call,403,unrelated
"Vice Media Chief Said to Pay $300,000 for Dinner for 30",2130,discuss
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,1602,discuss
Apple Watch may be powered by Samsung processor,1658,unrelated
"No, Saudi TV Did Not Blur Out Images of Michelle Obama",1786,unrelated
"North Korean leader Kim Jong-un’s mystery illness actually two broken ankles, newspaper says",1081,discuss
Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,908,unrelated
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",1093,discuss
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,1603,unrelated
"Despite ceasefire announcement, new Boko Haram attacks reported",1541,unrelated
Apple in talks to become launch partner for cable-free HBO Now service,2306,unrelated
Passenger Wears A Hazmat Suit To Dulles Airport,2489,unrelated
Woman Spends Entire Week In KFC After Getting Dumped By Her Boyfriend,1805,unrelated
Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,972,unrelated
Has Ebola infected Isis militants in Mosul?,1778,discuss
Watch: ISIS Claims to Have Captured U.S. Airdropped Weapons,1586,unrelated
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1580,agree
Christian Bale won't play Steve Jobs,2455,discuss
"Thanks Uncle Sam, we have your weapons airdrop: ISIS taunts America over intercepted weapons meant for Kurds",125,unrelated
Video Purports To Show Beheading Of U.S. Journalist By Militants,2453,unrelated
6 Islamist militants killed in US attack in Somalia,511,unrelated
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1726,unrelated
Officials Refute Iraqi Media Reports That ISIS Members Have Contracted Ebola In Mosul,2177,unrelated
"Islamic State Training Pilots in Military Jets, Monitors Say",1115,discuss
Could Kim Jong Un open a restaurant in Scotland?,773,unrelated
Cheeky vandals paint giant penis on bonnet of £1.5 million Bugatti Veyron sportscar,2252,unrelated
Soldier shot in Ottawa at War Memorial,1988,unrelated
BATMAN VS. SUPERMAN BATMOBILE STOLEN,1528,discuss
Did Comcast Get a Man Fired From His Job for Complaining About Its Service?,1338,unrelated
Video shows ISIL beheading of photojournalist James Foley,694,discuss
Isis claims it has US airdrop of weapons,1648,unrelated
"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",2156,unrelated
Comcast blocks Tor,1403,disagree
Elderly Woman Arrested for Kidnapping Neighbor’s Cats & Making Fur Coats,1034,unrelated
Staff Reporter,707,discuss
Lebanon detains wife and son of Al-Baghdadi,2337,disagree
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",2025,discuss
"Kim Jong-un Broke Both Ankles and Is Hospitalized, Report Claims",1854,discuss
New iOS 8 bug can delete all of your iCloud documents,2054,discuss
"TEXAS TURKEY FARM CONTAMINATED WITH EBOLA, OVER 250,000 HOLIDAY TURKEYS INFECTED",186,unrelated
The Apple Watch Will Debut by Late March [Report],670,unrelated
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,2175,unrelated
Boko Haram denies it has agreed ceasefire,2403,discuss
A Wanted Man Responded To A Police Facebook Post That He Would Turn Himself In,1693,unrelated
Video Purports To Show Beheading Of U.S. Journalist By Militants,1471,discuss
Aaron Sorkin Confirms Christian Bale Will Play Steve Jobs,2097,unrelated
"ISIS Unleash ""Scorpion"" Bombs In Iraq",185,unrelated
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),1321,disagree
Michael Phelps’ alleged girlfriend says she was born intersex,645,unrelated
"Despite no Ebola case in Kansas City, the rumor goes viral",1943,agree
Don’t ‘Reset All Settings’ in iOS 8 unless you want to lose your iCloud files,1155,unrelated
Soldier shot in Ottawa at War Memorial,2269,unrelated
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,698,unrelated
"Canadian woman 'captured by ISIS in Syria' says she is actually fine and still fighting the jihadists, despite kidnap reports",513,unrelated
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,1883,unrelated
This Woman Is Wrongly Being Called A Sexual Predator After Her Private Sex Tape Was Used For A Hoax,1734,unrelated
Jihadi John UNMASKED: Islamic State killer NAMED as west Londoner Mohammed Emwazi,1780,discuss
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,859,unrelated
"No, Banksy has not been arrested (sigh)",1020,unrelated
DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,1004,discuss
CNN Airs Alleged Audio from Michael Brown Shooting,1605,discuss
Guru who ordered 400 followers to be castrated 'so they could be closer to God' is investigated for grievous bodily harm in India,1011,unrelated
Guantanamo detainee freed in Bowe Bergdahl swap 'back to terrorism',472,unrelated
"UBS survey finds 10% of consumers want a smartwatch, expects 24M Apple Watch sales in fiscal 2015",568,unrelated
Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,36,unrelated
Bugatti Veyron Vandalized With Penis Graffiti? Viral Photo Isn’t What It Seems,1148,agree
Has Kim's SISTER taken over North Korea? Dictator fails to show for key Communist event (but does send a nice flower basket instead),81,unrelated
North Korea Leader Kim Jong Un Is Still In Charge: Source,1580,unrelated
Former PGA Tour player: Tiger Woods suspended for drug test failure,43,unrelated
NET Extra: Back-from-the-dead Catholic priest claims God is a female...,2492,unrelated
Isis 'fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him',2352,unrelated
Alleged audio of Michael Brown shooting released,776,unrelated
Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,831,unrelated
Man who skipped work for 24 years is finally fired,1951,agree
Big Bank Hank of The Sugarhill Gang is dead at 57,1458,unrelated
Isis claims to behead US journalist,1347,unrelated
"Islamic State, in video titled ""A Message to America,"" beheads American journalist James Wright Foley who was kidnapped in 2012",826,unrelated
"Viral Video Of Homeless Man Spending $100 On Food For Other Homeless Was Faked, Witness Says",344,unrelated
Kim Jong-Un 'bans the name Kim Jong-un',1034,unrelated
Scientists Doubt That Meteor Caused Crater In Nicaragua,2475,agree
Fence Jumper Made It Deeper Into the White House Than Secret Service Claims,887,unrelated
Journalist James Wright Foley reportedly beheaded by ISIS,984,unrelated
Islamic State May Have Fighter Jets Now After Seizing Russian-Made MiGs,487,unrelated
"Absent from duty for 25 years, CPWD official dismissed",1242,unrelated
Did a Meteorite Impact in Nicaragua over the Weekend?,373,unrelated
Meteorite strike in Nicaragua puzzles experts,715,discuss
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,2287,unrelated
Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,964,unrelated
Small red book among finds in 113-year-old Boston time capsule,690,unrelated
Kurds fear Isis use of chemical weapon in Kobani,1253,unrelated
New Audio Shows Michael Brown Was Shot at 11 Times,1569,unrelated
DHS Rebuffs Congressman’s Claim ISIS Infiltrating Southern Border,2367,disagree
Luke Somers 'killed in failed rescue attempt in Yemen',298,unrelated
Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,1737,unrelated
URGENT: ISIS kills 300 Iraqi soldiers by chlorine gas attack in Saqlawiyah,969,agree
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,311,unrelated
Ferguson riots: audio may have captured Michael Brown shooting,1803,unrelated
"ISIS Claims an American Hostage, Kayla Mueller, Died in Airstrike in Syria",2260,unrelated
Did Paul Rudd Help Tackle That Dallas Airport Gay-Basher?,1844,unrelated
WAS NBC METEOROLOGIST MIKE SEIDEL PEEING IN THE SNOW ON CAMERA? A TESTY BRIAN WILLIAMS EXPLAINS,1968,discuss
Canadian Soldier Shot At Ottawa War Memorial: Report,373,unrelated
ISIS Extremists Claim to Behead British Hostage David Haines,1528,unrelated
"Boko Haram agrees to ceasefire, release of school girls",2356,discuss
Led Zeppelin’s Robert Plant ripped up a $924 million reunion contract,2223,unrelated
"‘Teletubbies’ Sun Baby: Fans Freak Out Over Jess Smith, 19",1009,unrelated
"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",1439,unrelated
"Boko Haram denies cease-fire, leader says he married off kidnapped girls",2096,unrelated
"North Korea leader Kim is still in charge, has injured leg: source",1933,unrelated
"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",2188,discuss
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,2287,unrelated
ISIS Militants Allegedly Contracted Ebola,1905,unrelated
Report: Missing Libyan jetliners raise fears of suicide airliner attacks on 9/11,1699,unrelated
Batman Set To Play Steve Jobs In Upcoming Biopic,1846,disagree
ISIS Getting Ebola,1013,unrelated
Obama Denounces James Foley's Execution: 'Today The Entire World Is Appalled',1547,unrelated
REPORT: Alleged New Audio of Michael Brown Shooting,2235,discuss
"Apple Watch to Feature Time-Only 'Power Reserve' Mode, Prototypes Disguised as Samsung Watches",2423,unrelated
"Video showing American journalist beheaded believed real, officials and family say",2388,discuss
Report: Former Baseball Star Jose Canseco Accidentally Shot At Home,2078,unrelated
Luke Somers 'killed in failed rescue attempt in Yemen',401,unrelated
Nicaragua Meteorite Impact Theory May Be Meteor-wrong,1627,unrelated
"No, that high school kid didn't make $72 million trading stocks",2407,agree
ISIL video claims beheading of kidnapped journalist James Foley,2304,unrelated
Tiger Woods serving secret PED suspension?,757,discuss
Pentagon confirms al-Shabab leader killed in airstrike in Somalia,1084,agree
"Christian Bale in talks to play Steve Jobs for Sony, Danny Boyle",1702,unrelated
This Is Why Rumors That ISIS Is Crossing The Border Into The U.S. Aren’t Going Away,108,discuss
Nicaragua meteorite: Experts attempt to understand whether mysterious meteorite fell from passing Pitbull asteroid,2154,discuss
"Cook said to confirm Apple Watch is showerproof, lasts a day",121,unrelated
Mum Offers to Sell Twin Boy to Save Twin Girl,1627,agree
"McDonald’s Removing Big Mac, Apple Pies And Eliminating Large Size Options",776,unrelated
Cold Turkey,1949,agree
Founding Fathers-Era Time Capsule Found in Boston,2061,unrelated
You may be able to make appointments at the Apple Store to try on the Apple Watch when it launches,2056,discuss
Soldier shot at War Memorial; multiple shots fired in Parliament,2156,agree
"Mass Graves Found In Mexico, Near Place Where 43 Students Went Missing",366,discuss
Whiz kid stock picker: I didn't actually make $72M trading,313,unrelated
Isis video claims to show beheading of British hostage David Haines,1301,unrelated
ISIS leader dead?,1631,unrelated
British rapper a suspect in ISIS beheading,975,unrelated
Jose Canseco shoots self in hand,2000,discuss
New policy could reduce marijuana possession arrests,687,unrelated
This Soap Opera Star Reportedly Had His Testicles Stolen By An ‘Attractive Blonde’ Organ Trafficker,1015,unrelated
Seth Rogen to Star as Steve Wozniak in Sony's Steve Jobs Biopic [Updated],1795,unrelated
Is the Alleged Audio of the Gunshots That Killed Michael Brown a Hoax?,2313,unrelated
Seth Rogen to play Woz in Jobs biopic,646,unrelated
ISIS cracks down on five confirmed Ebola cases among fighters: official,527,unrelated
"Rats at Vogue's NYC offices - watch your step, Anna Wintour",1933,unrelated
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1776,unrelated
Islamic State reports youngest jihadist 'martyred' in battle,847,unrelated
"‘Teletubbies’ Sun Baby: Fans Freak Out Over Jess Smith, 19",2081,unrelated
Reports: Boko Haram may release schoolgirls as part of deal,1697,unrelated
Report: Christian Bale Will Play Steve Jobs,1658,unrelated
Hilarious: North Dakota Pays Special Tribute to President Obama,265,unrelated
Senior Western Intelligence Official Confirms London Rapper Abdel Majed Abdel Bary Is A Suspect In The Foley Killing,1314,discuss
Apple's 12-Inch Retina MacBook Air Shown in Artist's Renditions,1362,discuss
Pentagon: Somali terror group leader killed in U.S. airstrike,2374,discuss
NEWS/ You'll Never Guess How a Homeless Man Spent $100—Watch the Touching Video!,467,unrelated
Experts: More facts needed on purported audio recording of Michael Brown shooting,2141,unrelated
Microsoft turns to robotic security guards to watch for trouble,2306,unrelated
Amazon.com to open first physical store in Manhattan: DJ,568,unrelated
Iraqi media: ISIS militants have contracted Ebola,2138,discuss
Missing American journalist reportedly beheaded by Islamic State ,984,unrelated
"UPDATE: Soldier, gunman who died in Ottawa rampage identified",419,unrelated
Macaulay Culkin Dead?,2341,discuss
Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,1803,unrelated
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1540,disagree
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,1374,agree
Saddam Hussein’s pilots training Islamic State group,487,unrelated
WFB’s Bill Gertz: Obama Administration ‘Trying to Play Down’ Missing Libyan Airliners,723,unrelated
"Palestine accuses Israel of opening dams, flooding Gaza, forcing evacuations",993,unrelated
Give a homeless man $100 and see what he does with it [Video],1681,unrelated
Nigeria Claims Boko Haram Will Release the Kidnapped Schoolgirls,2356,discuss
CNN Posts Alleged Audio of Michael Brown Shooting,1818,discuss
Hospital Officials: Kansas City Patient Not Being Treated For Ebola,707,unrelated
Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,2192,unrelated
Catholic Priest Claims God Is Female After Clinically Dead Experience,2520,unrelated
